product_id,product_brand,product_name,product_sku,product_retail_price,product_cost,product_weight,recyclable,low_fat
24,Premium Choice,Premium Choice Gourmet Napkins,PC-00024-B,2.27,0.81,1.6,Yes,No
25,Hilltop Farms,Hilltop Farms Value Pack Lotion,HF-00025-L,8.49,3.46,0.22,No,No
26,Urban Pantry,Urban Pantry Original Tortilla Chips,UP-00026-V,3.8,2.42,0.66,No,Yes
27,Prime Select,Prime Select Gourmet Onions,PS-00027-H,0.68,0.32,0.78,No,No
28,Urban Pantry,Urban Pantry Classic Shrimp,UP-00028-W,13.57,5.36,1.34,Yes,No
29,Northern Mills,Northern Mills Deluxe Sausage,NM-00029-X,8.48,3.25,2.51,Yes,No
30,Premium Choice,Premium Choice Extra Crunchy Paper Towels,PC-00030-W,10.04,4.08,2.88,Yes,No
31,Meadowbrook,Meadowbrook Low Sodium Butter,M-00031-P,3.09,1.35,1.81,Yes,No
32,Wholesome Co,Wholesome Co Low Sodium Cheese,WC-00032-V,3.07,1.47,0.93,Yes,Yes
33,Bluepeak,Bluepeak Original Laundry Detergent,B-00033-F,8.77,4.85,1.05,Yes,No
34,Prime Select,Prime Select Reduced Fat Waffles,PS-00034-D,2.57,1.71,1.47,No,No
35,Sunrise Organics,Sunrise Organics Organic Dish Soap,SO-00035-R,9.96,4.79,1.11,No,No
36,Prime Select,Prime Select Traditional Waffles,PS-00036-R,4.6,1.71,2.47,Yes,Yes
37,Pure Origins,Pure Origins Value Pack Waffles,PO-00037-L,8.28,3.26,2.56,No,No
38,Family Choice,Family Choice Lite Cod,FC-00038-V,13.33,6.51,0.87,No,No
39,Pure Origins,Pure Origins Classic Ham,PO-00039-I,7.0,3.38,0.89,Yes,No
40,Hilltop Farms,Hilltop Farms Original Aluminum Foil,HF-00040-S,5.43,3.48,2.04,Yes,No
41,Crystal Springs,Crystal Springs Gourmet Donuts,cs-00041-g,2.09,1.25,1.4,Yes,No
42,Bluepeak,Bluepeak Lite Cream,B-00042-D,1.97,1.09,2.0,Yes,Yes
43,Family Choice,Family Choice Traditional Frozen Pizza,FC-00043-K,2.47,1.27,1.49,Yes,No
44,Meadowbrook,Meadowbrook Organic Cookies,M-00044-Z,4.61,3.09,0.52,Yes,Yes
45,Truetaste,Truetaste Lite Apples,T-00045-Y,0.93,0.38,1.71,No,No
46,Value Plus,Value Plus Value Pack Sour Cream,VP-00046-N,2.56,1.36,1.57,No,No
47,Silver Creek,Silver Creek Deluxe Sour Cream,SC-00047-G,1.75,0.68,1.34,Yes,No
48,Heritage Foods,Heritage Foods Jumbo Tea,HF-00048-M,7.4,2.69,2.0,Yes,No
49,Heritage Foods,Heritage Foods Gourmet Ground Beef,HF-00049-V,10.93,6.74,2.85,Yes,No
50,Farmhouse Select,Farmhouse Select Fresh Frozen Fries,FS-00050-H,3.17,1.95,2.82,Yes,No
51,Natures Best,Natures Best Original Aluminum Foil,NB-00051-L,6.63,2.53,2.64,Yes,No
52,Heritage Foods,Heritage Foods Traditional Trash Bags,HF-00052-S,7.79,5.32,2.13,No,No
53,Farmhouse Select,Farmhouse Select Extra Crunchy Sports Drink,FS-00053-D,5.69,2.41,2.42,No,No
54,Urban Pantry,Urban Pantry Organic Donuts,UP-00054-Y,3.37,1.66,0.93,No,No
55,Greenleaf,Greenleaf Lite Shampoo,G-00055-D,8.14,5.5,0.65,No,No
56,Family Choice,Family Choice Reduced Fat Crab Legs,FC-00056-P,6.67,2.79,0.9,Yes,No
57,Wholesome Co,Wholesome Co Gourmet Napkins,WC-00057-A,6.98,4.41,2.79,No,No
58,Sunrise Organics,Sunrise Organics Low Sodium Trash Bags,SO-00058-K,7.02,3.43,2.02,Yes,No
59,Truetaste,Truetaste Gourmet Donuts,T-00059-C,2.85,1.82,1.31,Yes,No
60,Ecoharvest,Ecoharvest Extra Crunchy Tv Dinner,E-00060-A,4.73,3.08,2.03,No,No
61,Sunrise Organics,Sunrise Organics Deluxe Coffee,SO-00061-O,2.28,1.03,1.58,Yes,No
62,Meadowbrook,Meadowbrook Mini Toothpaste,M-00062-J,8.4,5.73,0.58,Yes,No
63,Truetaste,Truetaste Classic Tortilla Chips,T-00063-O,3.9,1.47,0.45,Yes,Yes
64,Heritage Foods,Heritage Foods Traditional Bananas,HF-00064-V,2.16,1.34,1.43,Yes,No
65,Premium Choice,Premium Choice Jumbo Crackers,PC-00065-P,3.97,2.46,0.79,Yes,No
66,Greenleaf,Greenleaf Extra Crunchy Paper Towels,G-00066-G,7.79,3.75,1.63,Yes,No
67,Northern Mills,Northern Mills Gourmet Butter,NM-00067-G,2.12,1.46,1.11,Yes,Yes
68,Coastal Fresh,Coastal Fresh Fresh Sports Drink,CF-00068-S,2.37,0.94,2.42,Yes,No
69,Urban Pantry,Urban Pantry Classic Frozen Fries,UP-00069-F,6.35,3.93,1.56,Yes,No
70,Coastal Fresh,Coastal Fresh Family Size Soda,CF-00070-L,5.48,2.18,0.93,Yes,No
71,Hilltop Farms,Hilltop Farms Value Pack Aluminum Foil,HF-00071-D,3.65,1.49,0.85,Yes,No
72,Family Choice,Family Choice Classic Apples,FC-00072-U,1.14,0.65,1.54,No,No
73,Meadowbrook,Meadowbrook Low Sodium Salmon Fillet,M-00073-Z,14.72,8.6,1.34,No,No
74,Bluepeak,Bluepeak Value Pack Tilapia,B-00074-Y,14.63,5.71,1.34,No,No
75,Crystal Springs,Crystal Springs Lite Tilapia,CS-00075-F,11.34,6.61,1.64,No,No
76,Coastal Fresh,Coastal Fresh Deluxe Vitamins,CF-00076-N,2.21,1.33,0.62,No,No
77,Farmhouse Select,Farmhouse Select Reduced Fat Vitamins,FS-00077-Z,2.85,1.13,0.5,No,No
78,Sunrise Organics,Sunrise Organics Classic Apples,SO-00078-X,2.88,1.87,0.51,No,No
79,Natures Best,Natures Best Reduced Fat Toothpaste,NB-00079-T,10.79,6.37,0.47,Yes,No
80,Sunrise Organics,Sunrise Organics Extra Crunchy Vitamins,SO-00080-D,10.97,4.29,0.24,No,No
81,Bluepeak,Bluepeak Jumbo Sour Cream,B-00081-P,2.51,1.55,1.13,No,No
82,Wholesome Co,Wholesome Co Classic Tilapia,WC-00082-T,11.63,7.08,1.95,No,No
83,Hilltop Farms,Hilltop Farms Reduced Fat Yogurt,HF-00083-M,6.3,3.78,1.96,No,No
84,Coastal Fresh,Coastal Fresh Mini Bottled Water,CF-00084-H,3.14,1.18,1.18,Yes,No
85,Heritage Foods,Heritage Foods Fresh Ice Cream,HF-00085-C,3.5,2.13,1.4,Yes,No
86,Prime Select,Prime Select Reduced Fat Bacon,PS-00086-X,7.27,4.59,2.41,No,No
87,Everyday Basics,Everyday Basics Jumbo Bread,EB-00087-H,2.98,1.84,0.62,Yes,No
88,Pure Origins,Pure Origins Mini Aluminum Foil,PO-00088-Z,4.88,1.78,1.29,Yes,No
89,Meadowbrook,Meadowbrook Value Pack Croissants,M-00089-R,3.82,2.2,0.99,No,No
90,Crystal Springs,Crystal Springs Traditional Ice Cream,CS-00090-O,3.39,1.88,1.17,No,No
91,Everyday Basics,Everyday Basics Traditional Chicken Breast,EB-00091-S,9.6,4.71,1.81,No,No
92,American Classic,American Classic Reduced Fat Chicken Breast,AC-00092-V,11.31,4.36,1.27,No,No
93,Farmhouse Select,Farmhouse Select Original Ice Cream,FS-00093-U,3.35,1.72,0.95,Yes,No
94,Heritage Foods,Heritage Foods Fresh Butter,HF-00094-L,1.78,0.84,2.0,No,Yes
95,Family Choice,Family Choice Gourmet Juice,FC-00095-P,1.09,2.42,1.64,Yes,No
96,Truetaste,Truetaste Family Size Tuna,T-00096-D,7.41,2.73,1.34,Yes,No
97,Greenleaf,Greenleaf Mini Bottled Water,G-00097-U,2.97,1.07,2.39,Yes,No
98,Prime Select,Prime Select Fresh Bottled Water,PS-00098-K,7.21,4.84,2.34,Yes,No
99,Sunrise Organics,Sunrise Organics Lite Apples,SO-00099-V,2.61,1.77,2.28,Yes,No
100,Silver Creek,Silver Creek Lite Carrots,SC-00100-S,0.95,0.63,0.73,Yes,No
101,Hilltop Farms,Hilltop Farms Gourmet Rolls,HF-00101-Y,5.17,2.92,0.98,No,No
102,Prime Select,Prime Select Fresh Carrots,PS-00102-R,3.99,1.62,1.53,No,No
103,Crystal Springs,Crystal Springs Reduced Fat Frozen Fries,CS-00103-R,3.86,1.96,2.88,Yes,No
104,Golden Harvest,Golden Harvest Deluxe Cookies,GH-00104-T,3.15,1.6,0.55,Yes,Yes
105,Greenleaf,Greenleaf Organic Napkins,G-00105-N,8.05,5.08,1.55,Yes,No
106,Wholesome Co,Wholesome Co Fresh Coffee,WC-00106-J,3.26,1.87,0.77,No,No
107,Premium Choice,Premium Choice Classic Cream,PC-00107-Y,4.5,1.63,1.66,No,No
108,Family Choice,Family Choice Original Tea,FC-00108-E,5.95,2.25,1.01,Yes,No
109,Crystal Springs,Crystal Springs Family Size Frozen Pizza,CS-00109-U,4.01,2.25,2.89,No,No
110,Premium Choice,Premium Choice Extra Crunchy Bagels,PC-00110-I,2.81,0.99,0.96,Yes,No
111,Farmhouse Select,Farmhouse Select Traditional Frozen Pizza,FS-00111-X,2.49,0.9,1.76,Yes,No
112,Coastal Fresh,Coastal Fresh Value Pack Coffee,CF-00112-Y,7.28,4.17,1.3,Yes,No
113,Hilltop Farms,Hilltop Farms Lite Dish Soap,HF-00113-S,3.14,1.79,1.3,Yes,No
114,Silver Creek,Silver Creek Classic Lotion,SC-00114-C,10.76,6.31,0.82,Yes,No
115,Greenleaf,Greenleaf Value Pack Toothpaste,G-00115-F,12.47,7.93,0.72,No,No
116,Natures Best,Natures Best Reduced Fat Bagels,NB-00116-D,4.27,2.71,0.84,Yes,No
117,Prime Select,Prime Select Value Pack Salmon Fillet,PS-00117-X,15.73,6.85,1.31,Yes,No
118,Wholesome Co,Wholesome Co Organic Pretzels,WC-00118-L,2.2,1.32,0.9,Yes,No
119,Meadowbrook,Meadowbrook Gourmet Frozen Pizza,M-00119-S,5.53,2.12,2.98,Yes,Yes
120,Urban Pantry,Urban Pantry Jumbo Chicken Breast,UP-00120-L,11.56,7.88,1.21,No,No
121,Pure Origins,Pure Origins Lite Trash Bags,PO-00121-L,7.18,3.04,0.84,Yes,No
122,Truetaste,Truetaste Jumbo Shrimp,T-00122-Z,10.47,3.87,1.82,Yes,No
123,Hilltop Farms,Hilltop Farms Extra Crunchy Ground Beef,HF-00123-W,7.86,3.8,1.6,No,Yes
124,Crystal Springs,Crystal Springs Lite Shrimp,CS-00124-M,9.58,6.24,2.11,Yes,No
125,Farmhouse Select,Farmhouse Select Low Sodium Tv Dinner,FS-00125-S,6.22,4.19,2.58,Yes,No
126,Everyday Basics,Everyday Basics Reduced Fat Ham,EB-00126-G,8.61,3.31,3.4,No,No
127,Silver Creek,Silver Creek Traditional Crab Legs,SC-00127-B,15.64,6.58,2.26,Yes,No
128,Golden Valley,Golden Valley Value Pack Cod,GV-00128-N,7.49,2.95,2.1,No,No
129,Hilltop Farms,Hilltop Farms Gourmet Ice Cream,HF-00129-G,3.85,1.53,2.08,Yes,No
130,Coastal Fresh,Coastal Fresh Low Sodium Onions,CF-00130-H,1.9,0.97,1.12,No,No
131,Ecoharvest,Ecoharvest Low Sodium Bananas,E-00131-V,1.88,0.99,2.18,Yes,No
132,Value Plus,Value Plus Lite Bread,VP-00132-A,2.7,1.85,0.49,Yes,No
133,Heritage Foods,Heritage Foods Original Shampoo,HF-00133-N,8.52,3.93,1.01,No,No
134,Silver Creek,Silver Creek Family Size Laundry Detergent,sc-00134-o,7.67,3.83,2.05,Yes,No
135,Greenleaf,Greenleaf Extra Crunchy Ice Cream,G-00135-N,7.37,4.47,2.98,Yes,No
136,Everyday Basics,Everyday Basics Fresh Frozen Fries,EB-00136-E,6.48,3.9,2.72,Yes,No
137,Ecoharvest,Ecoharvest Lite Toothpaste,E-00137-X,5.48,3.25,1.14,Yes,No
138,Sunrise Organics,Sunrise Organics Lite Shampoo,SO-00138-P,2.81,1.47,0.75,Yes,No
139,Premium Choice,Premium Choice Low Sodium Bacon,PC-00139-S,8.42,5.37,1.69,Yes,Yes
140,Sunrise Organics,Sunrise Organics Lite Chicken Breast,SO-00140-D,10.83,6.26,2.9,No,No
141,Bluepeak,Bluepeak Value Pack Shampoo,B-00141-A,10.25,5.2,0.71,Yes,No
142,Bluepeak,Bluepeak Fresh Tea,B-00142-W,1.41,0.79,1.65,No,No
143,Prime Select,Prime Select Classic Ice Cream,PS-00143-L,6.07,4.01,2.71,Yes,No
144,Ecoharvest,Ecoharvest Value Pack Bagels,E-00144-I,3.87,2.2,0.32,Yes,No
145,American Classic,American Classic Gourmet Carrots,AC-00145-U,2.42,1.28,2.14,Yes,No
146,Sunrise Organics,Sunrise Organics Mini Soda,SO-00146-W,5.19,1.91,1.46,No,No
147,Meadowbrook,Meadowbrook Reduced Fat Popcorn,M-00147-E,2.68,1.32,0.91,No,No
148,Hilltop Farms,Hilltop Farms Jumbo Ice Cream,HF-00148-Z,3.98,1.57,1.45,No,No
149,Bluepeak,Bluepeak Traditional Sausage,B-00149-H,10.08,3.76,3.17,No,Yes
150,Heritage Foods,Heritage Foods Jumbo Cookies,HF-00150-D,3.24,1.41,0.71,No,No
151,Heritage Foods,Heritage Foods Low Sodium Soda,HF-00151-J,4.44,3.09,1.78,Yes,No
152,Meadowbrook,Meadowbrook Value Pack Vitamins,M-00152-O,5.52,3.72,0.41,Yes,No
153,Premium Choice,Premium Choice Organic Cream,PC-00153-R,5.95,3.94,1.01,No,No
154,Everyday Basics,Everyday Basics Fresh Muffins,EB-00154-B,4.31,2.89,1.16,Yes,No
155,Farmhouse Select,Farmhouse Select Lite Deodorant,FS-00155-U,3.09,1.87,0.58,No,No
156,Prime Select,Prime Select Jumbo Shampoo,PS-00156-Y,5.12,3.58,0.56,Yes,No
157,Ecoharvest,Ecoharvest Organic Ice Cream,E-00157-J,3.3,1.17,2.12,Yes,No
158,Truetaste,Truetaste Reduced Fat Tilapia,T-00158-M,4.6,2.42,1.81,No,No
159,Golden Harvest,Golden Harvest Original Salmon Fillet,GH-00159-W,14.77,5.81,0.6,Yes,No
160,Coastal Fresh,Coastal Fresh Mini Lotion,CF-00160-O,9.91,6.72,0.55,Yes,No
161,Crystal Springs,Crystal Springs Fresh Tea,CS-00161-L,1.12,0.7,1.65,No,No
162,Truetaste,Truetaste Lite Bacon,T-00162-R,6.53,3.92,1.92,Yes,No
163,Value Plus,Value Plus Classic Toothpaste,VP-00163-L,3.63,1.83,1.04,Yes,No
164,Silver Creek,Silver Creek Low Sodium Aluminum Foil,SC-00164-X,5.23,2.85,2.88,No,No
165,Crystal Springs,Crystal Springs Organic Ice Cream,CS-00165-R,6.66,4.19,2.71,Yes,No
166,Value Plus,Value Plus Jumbo Pretzels,VP-00166-R,2.2,0.82,0.85,Yes,No
167,Bluepeak,Bluepeak Original Croissants,B-00167-M,4.15,2.29,0.84,No,No
168,Bluepeak,Bluepeak Mini Soda,B-00168-T,3.55,1.35,2.06,No,No
169,Golden Valley,Golden Valley Organic Tilapia,GV-00169-K,13.26,5.85,1.26,Yes,No
170,Urban Pantry,Urban Pantry Jumbo Crackers,UP-00170-S,3.73,2.19,1.34,No,No
171,Greenleaf,Greenleaf Deluxe Muffins,G-00171-G,1.57,0.82,0.76,No,No
172,Northern Mills,Northern Mills Gourmet Donuts,NM-00172-J,1.92,1.09,1.37,Yes,No
173,Truetaste,Truetaste Jumbo Bottled Water,T-00173-I,1.83,2.42,2.28,Yes,No
174,Urban Pantry,Urban Pantry Fresh Vitamins,UP-00174-D,8.38,4.2,1.02,No,No
175,Premium Choice,Premium Choice Gourmet Shampoo,PC-00175-S,11.01,7.68,1.07,No,No
176,Golden Harvest,Golden Harvest Low Sodium Deodorant,GH-00176-F,6.07,3.45,0.5,Yes,No
177,Wholesome Co,Wholesome Co Family Size Paper Towels,WC-00177-L,5.99,3.77,2.91,Yes,No
178,Golden Harvest,Golden Harvest Family Size Tuna,GH-00178-K,12.94,5.39,1.43,Yes,No
179,American Classic,American Classic Original Cream,AC-00179-X,6.2,3.99,0.87,No,No
180,Greenleaf,Greenleaf Extra Crunchy Laundry Detergent,G-00180-V,4.68,2.74,1.88,Yes,No
181,Truetaste,Truetaste Deluxe Paper Towels,T-00181-J,5.32,2.65,2.98,No,No
182,Natures Best,Natures Best Value Pack Tuna,NB-00182-N,5.11,2.49,0.67,No,No
183,Truetaste,Truetaste Extra Crunchy Frozen Fries,T-00183-T,7.58,3.82,1.91,Yes,No
184,Coastal Fresh,Coastal Fresh Lite Cheese,CF-00184-I,2.26,1.53,2.43,No,No
185,Silver Creek,Silver Creek Traditional Frozen Vegetables,SC-00185-D,2.74,1.06,1.7,No,No
186,Heritage Foods,Heritage Foods Extra Crunchy Shampoo,HF-00186-D,8.09,3.28,1.34,Yes,No
187,Bluepeak,Bluepeak Traditional Shrimp,B-00187-R,11.83,6.05,1.93,No,No
188,Prime Select,Prime Select Jumbo Tea,PS-00188-N,4.2,2.46,2.49,Yes,No
189,Golden Harvest,Golden Harvest Mini Carrots,GH-00189-N,0.86,0.36,2.9,No,No
190,Golden Harvest,Golden Harvest Extra Crunchy Ice Cream,GH-00190-I,4.74,2.39,1.73,Yes,No
191,Heritage Foods,Heritage Foods Deluxe Toothpaste,HF-00191-D,9.44,5.44,0.31,Yes,No
192,Ecoharvest,Ecoharvest Classic Cream,E-00192-T,6.46,3.81,1.1,No,No
193,Farmhouse Select,Farmhouse Select Mini Popcorn,FS-00193-X,2.74,1.57,0.47,Yes,Yes
194,Prime Select,Prime Select Traditional Butter,PS-00194-Q,6.45,2.42,2.09,Yes,No
195,Northern Mills,Northern Mills Value Pack Laundry Detergent,NM-00195-O,8.19,4.16,3.89,No,No
196,Value Plus,Value Plus Original Lettuce,VP-00196-C,1.33,0.49,1.0,Yes,No
197,Coastal Fresh,Coastal Fresh Deluxe Ground Beef,CF-00197-F,10.35,3.7,2.98,Yes,No
198,Prime Select,Prime Select Original Sausage,PS-00198-F,10.73,6.85,0.87,Yes,No
199,Prime Select,Prime Select Value Pack Lotion,PS-00199-A,10.78,7.03,1.04,Yes,No
200,Greenleaf,Greenleaf Jumbo Lettuce,G-00200-I,3.19,2.05,0.91,Yes,No
201,Meadowbrook,Meadowbrook Original Frozen Vegetables,M-00201-W,8.59,5.91,2.29,Yes,No
202,Sunrise Organics,Sunrise Organics Traditional Bottled Water,SO-00202-H,1.55,0.71,2.31,Yes,No
203,Ecoharvest,Ecoharvest Reduced Fat Juice,E-00203-C,6.98,3.98,1.06,No,No
204,Prime Select,Prime Select Jumbo Trash Bags,PS-00204-E,3.94,1.9,1.0,Yes,No
205,Premium Choice,Premium Choice Reduced Fat Bar Soap,PC-00205-T,6.23,2.91,0.82,Yes,No
206,Family Choice,Family Choice Fresh Apples,FC-00206-N,2.1,1.26,1.34,No,No
207,Pure Origins,Pure Origins Fresh Tea,PO-00207-P,2.1,1.25,1.14,Yes,No
208,Coastal Fresh,Coastal Fresh Organic Cream,CF-00208-R,5.11,3.18,1.78,Yes,No
209,Value Plus,Value Plus Lite Frozen Pizza,VP-00209-H,5.23,2.15,1.56,No,No
210,Everyday Basics,Everyday Basics Value Pack Crab Legs,EB-00210-S,12.82,7.73,2.39,No,No
211,Sunrise Organics,Sunrise Organics Deluxe Frozen Pizza,SO-00211-O,5.62,2.42,1.38,Yes,No
212,Sunrise Organics,Sunrise Organics Organic Popcorn,SO-00212-L,2.2,0.78,0.43,Yes,No
213,Ecoharvest,Ecoharvest Gourmet Apples,E-00213-T,3.77,1.57,1.43,No,No
214,Sunrise Organics,Sunrise Organics Fresh Cheese,SO-00214-T,4.71,1.68,1.53,Yes,No
215,Prime Select,Prime Select Original Tuna,PS-00215-X,4.28,1.9,2.49,Yes,No
216,Hilltop Farms,Hilltop Farms Mini Juice,hf-00216-q,2.07,1.33,2.26,Yes,No
217,Golden Harvest,Golden Harvest Original Onions,GH-00217-I,3.06,1.97,0.73,Yes,No
218,Value Plus,Value Plus Jumbo Sausage,VP-00218-U,7.17,3.76,2.03,Yes,No
219,Value Plus,Value Plus Gourmet Cheese,VP-00219-P,2.36,1.47,0.91,Yes,No
220,Prime Select,Prime Select Deluxe Ham,PS-00220-N,9.07,6.26,1.96,Yes,No
221,Meadowbrook,Meadowbrook Low Sodium Bananas,M-00221-D,0.74,0.31,1.97,No,No
222,Prime Select,Prime Select Mini Sports Drink,PS-00222-P,1.64,1.09,1.49,No,No
223,Ecoharvest,Ecoharvest Family Size Pork Chops,e-00223-h,10.45,4.51,2.02,Yes,No
224,Silver Creek,Silver Creek Classic Bagels,SC-00224-F,1.55,0.81,1.38,No,No
225,Prime Select,Prime Select Classic Yogurt,PS-00225-D,5.38,2.5,2.36,No,No
226,American Classic,American Classic Lite Crab Legs,AC-00226-J,5.04,3.29,0.96,No,No
227,Ecoharvest,Ecoharvest Reduced Fat Frozen Pizza,E-00227-I,4.39,1.84,1.55,Yes,Yes
228,Golden Harvest,Golden Harvest Lite Bar Soap,GH-00228-A,5.25,3.35,1.13,No,No
229,Greenleaf,Greenleaf Fresh Milk,G-00229-B,4.06,2.41,1.27,Yes,No
230,Greenleaf,Greenleaf Gourmet Soda,G-00230-X,3.52,2.09,1.2,Yes,No
231,Farmhouse Select,Farmhouse Select Family Size Pork Chops,FS-00231-B,8.21,5.59,2.98,No,No
232,Hilltop Farms,Hilltop Farms Traditional Cheese,HF-00232-Z,4.91,3.4,1.54,Yes,Yes
233,Wholesome Co,Wholesome Co Low Sodium Bacon,WC-00233-O,10.01,3.56,1.47,No,No
234,Family Choice,Family Choice Fresh Tea,FC-00234-I,4.24,2.72,2.51,No,No
235,Ecoharvest,Ecoharvest Fresh Bottled Water,E-00235-B,3.69,2.26,1.33,No,No
236,Prime Select,Prime Select Original Sausage,PS-00236-C,11.92,8.2,1.34,Yes,No
237,Sunrise Organics,Sunrise Organics Organic Napkins,SO-00237-Y,8.42,2.42,0.96,No,No
238,Bluepeak,Bluepeak Gourmet Laundry Detergent,B-00238-H,9.07,5.95,2.11,Yes,No
239,Golden Harvest,Golden Harvest Original Apples,GH-00239-W,1.66,0.64,1.57,Yes,No
240,Silver Creek,Silver Creek Deluxe Ham,SC-00240-T,7.23,4.04,2.3,Yes,No
241,Wholesome Co,Wholesome Co Reduced Fat Coffee,WC-00241-I,1.61,1.11,1.11,No,No
242,Farmhouse Select,Farmhouse Select Low Sodium Ice Cream,FS-00242-X,2.62,1.4,1.34,No,No
243,Greenleaf,Greenleaf Mini Yogurt,G-00243-Z,4.05,2.7,1.97,No,Yes
244,Truetaste,Truetaste Mini Toothpaste,T-00244-T,5.26,2.7,0.24,Yes,No
245,Prime Select,Prime Select Gourmet Bottled Water,PS-00245-R,2.89,1.84,1.26,No,No
246,Premium Choice,Premium Choice Gourmet Sausage,PC-00246-W,5.25,3.21,1.84,No,No
247,Ecoharvest,Ecoharvest Classic Yogurt,E-00247-T,1.7,0.69,1.11,Yes,No
248,Value Plus,Value Plus Fresh Chicken Breast,VP-00248-T,4.31,1.9,3.26,Yes,No
249,Heritage Foods,Heritage Foods Low Sodium Carrots,HF-00249-U,1.12,0.59,0.9,Yes,No
250,Prime Select,Prime Select Jumbo Cookies,PS-00250-S,3.78,2.61,0.71,Yes,No
251,Premium Choice,Premium Choice Family Size Tomatoes,PC-00251-L,2.34,1.62,1.77,Yes,No
252,Family Choice,Family Choice Traditional Ice Cream,fc-00252-a,3.67,1.51,2.88,Yes,Yes
253,Wholesome Co,Wholesome Co Gourmet Waffles,WC-00253-L,7.42,3.59,2.68,Yes,Yes
254,Sunrise Organics,Sunrise Organics Jumbo Sour Cream,SO-00254-Y,5.01,2.74,1.89,Yes,No
255,Golden Harvest,Golden Harvest Original Milk,GH-00255-M,5.3,3.03,0.59,No,No
256,Sunrise Organics,Sunrise Organics Original Toothpaste,SO-00256-O,11.0,6.26,0.36,Yes,No
257,Golden Valley,Golden Valley Fresh Laundry Detergent,GV-00257-L,3.2,1.66,3.25,Yes,No
258,Sunrise Organics,Sunrise Organics Lite Sour Cream,SO-00258-I,3.8,1.61,1.3,Yes,No
259,Crystal Springs,Crystal Springs Classic Deodorant,CS-00259-Z,8.15,3.88,0.38,No,No
260,Value Plus,Value Plus Organic Popcorn,VP-00260-U,3.84,1.37,0.79,Yes,No
261,Golden Harvest,Golden Harvest Classic Tilapia,GH-00261-F,9.12,3.56,0.67,No,No
262,Family Choice,Family Choice Jumbo Cheese,FC-00262-R,5.04,2.83,1.9,Yes,Yes
263,Bluepeak,Bluepeak Extra Crunchy Carrots,B-00263-V,0.87,0.5,1.43,Yes,No
264,Value Plus,Value Plus Jumbo Popcorn,VP-00264-P,4.77,1.74,0.99,No,No
265,Urban Pantry,Urban Pantry Family Size Napkins,UP-00265-Q,4.6,2.61,1.34,Yes,No
266,Wholesome Co,Wholesome Co Traditional Bananas,WC-00266-U,0.66,0.4,0.82,Yes,No
267,Farmhouse Select,Farmhouse Select Value Pack Cookies,FS-00267-X,3.26,2.25,0.6,No,Yes
268,Premium Choice,Premium Choice Fresh Muffins,PC-00268-V,3.81,2.1,1.18,Yes,No
269,Heritage Foods,Heritage Foods Organic Muffins,HF-00269-J,4.15,1.77,0.41,No,No
270,Everyday Basics,Everyday Basics Extra Crunchy Butter,EB-00270-T,3.44,1.33,2.23,No,No
